YMD,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345
2009-01-01,3210.842464,3104.507008,3037.705984,2960.176288,2889.226528,2827.697728,2772.514336,2720.4707200000003,2666.586688,2632.012,2595.505504,2566.970752,2531.124064,2491.6216,2472.303904,2448.724864,2422.123744,2410.690432,2367.227488,2349.040192,2334.095776,2314.417888,2305.569088,2279.622304,2261.524864,2247.795616,2222.8426240000003,2186.44144,2159.344864,2139.483232,2135.676736,2122.434784,2137.964416,2209.2601600000003,2288.816416,2345.09824,2391.75808,2430.929248,2465.343904,2512.092544,2537.0731840000003,2568.15952,2597.069248,2607.03952,2639.961952,2676.37936,2670.822112,2628.495904,2542.101952,2446.824256,2376.100672,2323.132,2279.506816,2241.474016,2214.848128,2218.18048,2214.144736,2205.421984,2210.679808,2211.587008,2186.4245440000004,2229.17152,2263.843264,2292.702592,2341.46032,2389.601152,2419.525504,2463.022624,2493.8373759999995,2593.91056,2672.353792,2763.829888,2926.542304,3124.116736,3191.043712,3189.140512,3160.161472,3149.087296,3120.352672,3088.514176,3090.265984,3071.13136,3072.522784,3072.605536,3055.172512,3053.532832,3035.577568,3020.254336,2969.5009600000003,2906.13184,2830.151392,2734.114816,2610.683872,2485.757536,2382.696928,2276.21008
2009-01-02,2163.988288,2074.737568,1999.62496,1950.288448,1889.142112,1846.4896,1800.414304,1778.308,1746.278368,1716.473152,1702.2731199999998,1687.282816,1667.647744,1654.367968,1635.281632,1625.0447679999995,1616.353408,1622.015584,1626.647296,1620.9835839999998,1640.643232,1650.336928,1664.085856,1672.064704,1702.84096,1747.362592,1784.795584,1841.231872,1942.34656,2126.763904,2396.297728,2749.79824,3322.789888,3815.6512,4034.832544,4161.494656000001,4251.536416,4327.84144,4398.817216,4478.927968,4525.60048,4579.607488000001,4623.005343999999,4640.017215999999,4668.8978560000005,4683.86752,4602.091552,4409.870272,3904.175776,3492.140512,3422.845024,3360.026848,3391.6023039999995,3487.8137919999995,3818.341792,4165.942623999999,4263.012352,4343.30128,4356.292192,4392.88144,4402.6384,4452.475456,4477.048768,4507.482784,4547.331712,4595.152672,4604.762463999999,4610.690272,4588.505343999999,4553.157376,4376.587168,4247.69872,4306.45888,4445.072031999999,4663.365184,4760.792031999999,4816.992352,4865.44096,4849.446207999999,4825.0984,4788.966688,4782.763263999999,4755.405184,4721.03824,4677.803584,4631.617695999999,4561.578399999999,4499.023743999999,4387.936095999999,4263.367168,4137.329248,3964.573792,3774.516256,3587.174176,3424.568608,3266.948608
2009-01-03,3109.127008,3015.90112,2938.305664,2869.375744,2815.772224,2777.295616,2725.377568,2704.334464,2665.855744,2644.08112,2627.558368,2606.964064,2587.876768,2563.019488,2537.909248,2522.588608,2502.610912,2507.750752,2503.05952,2497.012864,2489.030752,2492.823904,2506.140832,2518.017568,2516.655904,2567.725696,2594.752,2639.4575680000003,2715.590752,2862.92896,3107.10064,3412.81936,3976.01824,4472.274016,4663.984384,4754.88112,4833.536896,4901.592352,4965.486688,5027.1910720000005,5075.994976,5106.901984,5149.83904,5162.0603200000005,5172.057856,5183.229088,5068.2184,4824.912832,4261.224064,3812.81008,3753.366688,3732.32944,3777.876256,3892.937536,4298.126848,4660.54048,4770.73888,4828.743424,4847.215456,4875.017056,4899.391552,4946.01856,4978.465024,5001.85888,5061.907647999999,5101.865344,5124.824704,5116.13872,5046.434656,4991.302143999999,4755.864544,4591.157536,4606.051552,4762.852192,4941.983104,5032.306048,5072.710431999999,5113.32064,5080.002784,5048.787327999999,5010.387808,5005.591552,4972.885984,4953.027327999999,4890.433792,4839.685984,4739.017696,4685.606368,4553.0340160000005,4430.034976,4292.695936,4127.941983999999,3955.490752,3774.54112,3602.281312,3444.148
2009-01-04,3307.752544,3209.726368,3125.514016,3075.184864,3028.708768,2995.458208,2956.236256,2926.631392,2893.666048,2870.434336,2843.707456,2817.392512,2789.376736,2766.39856,2744.93104,2729.933152,2712.697216,2701.906048,2695.78816,2688.635104,2680.932064,2679.780352,2687.40016,2693.419168,2710.00816,2763.34816,2789.62144,2840.425504,2916.687328,3039.01168,3239.32912,3533.86192,4169.264703999999,4498.133631999999,4653.354016,4797.632511999999,4891.508128,4932.987808,4991.611552,5018.4016,5044.842784,5086.051552,5121.494656,5146.57888,5155.294336,5164.950112,5037.77872,4781.225344,4256.646207999999,3837.549568,3804.58,3788.771872,3833.566336,3953.13184,4264.214176,4638.396256,4736.071552,4833.857056,4848.893152000001,4864.065184,4886.88016,4913.496736,4955.453632,4979.131072,4982.667328,5068.4551360000005,5060.822464,5058.407008,4990.790271999999,4966.204384000001,4713.127168,4583.154495999999,4628.590047999999,4758.924544,4939.081984,4996.567168,5013.584704,5003.36032,4963.907008,4947.493312,4911.663424,4920.6039040000005,4889.754496,4788.223263999999,4750.19824,4707.1816,4643.508927999999,4592.602623999999,4572.892672,4403.247808,4273.2016,4124.856256,3940.387648,3767.99056,3602.39872,3477.076768
2009-01-05,3295.4157760000003,3278.379328,3232.313632,3160.731232,3124.226368,3092.294176,3064.081312,3034.584256,3007.335136,2984.57824,2962.252192,2948.192224,2922.827968,2895.198016,2880.825184,2859.355744,2834.82112,2837.00176,2831.20864,2822.75104,2833.457536,2845.919488,2851.927648,2843.91088,2877.9208,2940.954016,2987.096128,3053.859328,3176.732704,3324.3592,3534.856288,3881.845696,4518.636736,5122.024863999999,5306.495776,5425.605184,5532.445504,5548.591552,5602.953471999999,5644.90096,5671.502944,5704.563904000001,5753.508448,5766.073312,5762.653792,5765.12032,5637.845343999999,5329.505343999999,4694.531392,4192.474816,4156.692832,4142.688447999999,4244.858079999999,4402.096095999999,4851.204064,5304.264064,5476.450911999999,5562.997216,5595.105664,5616.582784,5625.809728,5671.141984,5685.830271999999,5719.124704,5754.7627840000005,5801.198079999999,5800.003263999999,5762.326528,5671.357215999999,5563.608447999999,5246.283424,5033.87824,5076.132832,5229.0616,5485.43968,5718.715936,5811.325024,5852.397376,5797.867648,5768.569888,5723.07904,5692.948768,5666.424544,5607.057856,5510.701599999999,5472.976576,5404.886368,5310.377536,5182.7055040000005,5069.889088,4909.508608,4710.734656,4471.342143999999,4295.25952,4106.356096,3933.51136
2009-01-06,3780.426976,3678.762304,3583.492384,3541.0408,3473.685664,3422.262304,3368.349568,3343.126336,3304.071712,3274.83136,3250.066336,3217.923904,3193.514464,3167.594656,3156.27952,3151.922464,3118.393312,3110.245984,3097.923712,3089.685184,3082.164544,3100.153312,3099.076768,3095.999488,3099.713824,3145.72192,3174.709888,3193.673632,3292.10176,3445.776256,3680.755744,4040.240512,4694.276896,5256.01696,5450.853952,5569.34032,5653.276096,5717.694016,5763.845343999999,5809.033792,5839.023904,5856.554176,5883.085983999999,5909.08096,5894.580639999999,5874.714016,5733.770272,5438.38,4371.445504,4306.817536,4266.356416,4238.87824,4330.149088,4478.383263999999,4941.646528,5396.92096,5532.768448,5654.276416,5677.204863999999,5693.186368000001,5706.912832,5757.977056,5781.04,5804.121279999999,5855.8384,5908.626687999999,5887.692832,5863.127488,5763.714975999999,5688.967168,5364.456736,5129.032192,5143.675456,5303.245983999999,5579.525823999999,5730.002464,5814.842463999999,5821.933792,5782.184703999999,5768.775136,5719.005664,5699.3762560000005,5668.847008,5631.196096,5572.501984,5468.965024,5357.549728,5269.958079999999,5130.911392,4998.997216,4868.828608,4683.363904,4472.037856,4273.396096,4111.919679999999,3936.79888
2009-01-07,3746.874304,3677.80192,3608.526208,3562.012384,3504.41872,3453.95008,3412.272544,3389.514496,3350.029888,3334.942432,3295.007008,3263.62048,3241.225504,3220.01056,3194.069248,3167.213152,3147.406816,3143.934976,3140.763904,3131.664256,3120.935104,3118.513792,3117.067168,3125.7606399999995,3136.3853440000003,3185.152672,3213.066976,3255.2537919999995,3329.766976,3472.47136,3706.683232,4069.666816,4888.825024,5260.506208,5480.043904,5590.133152,5652.85936,5672.995456,5726.223424,5744.454495999999,5740.914016000001,5768.996416,5793.403264,5816.526207999999,5813.416,5811.686847999999,5681.45824,5398.25824,4734.49888,4232.096416,4193.05984,4185.624064,4289.564703999999,4463.073472,4902.354016,5335.675456,5460.672832,5540.647168,5579.765344,5600.572192,5619.15904,5665.930047999999,5710.8146560000005,5742.294016,5781.609568,5806.325344,5816.905983999999,5802.504544,5709.875776,5620.955296,5329.609407999999,5123.8816,5140.696575999999,5324.301759999999,5586.0616,5714.602623999999,5784.947968,5810.61904,5783.144703999999,5756.6827840000005,5694.667168,5675.313472,5642.785504,5618.02096,5559.735136,5471.91904,5395.524064,5284.503904,5173.194976,5045.549728,4887.014656,4714.634656,4499.505664,4284.166528,4113.672832,3955.628608
2009-01-08,3786.991072,3662.891392,3593.44192,3542.975776,3484.10944,3453.873952,3414.91888,3385.651072,3342.555136,3323.982592,3294.33952,3272.118208,3246.498016,3227.379328,3213.645184,3189.329728,3174.816256,3158.5288,3142.09984,3133.231072,3133.696096,3146.304256,3150.513472,3172.853824,3185.751232,3211.149568,3235.931392,3286.172992,3369.315136,3500.847328,3717.202432,4038.169888,4697.745183999999,5212.590112,5407.472511999999,5518.201599999999,5576.563263999999,5624.832832,5656.831072,5697.608128,5718.599679999999,5754.948447999999,5788.114336,5790.626368,5789.171391999999,5787.6086080000005,5653.815615999999,5381.722143999999,4683.3362560000005,4248.107488000001,4217.204223999999,4203.991552,4299.574336,4455.813952,4856.865184,5314.229248,5440.492672,5544.217215999999,5588.912992,5588.148928,5603.572672,5649.615136,5689.662304,5702.98192,5748.086368,5774.652832,5778.523743999999,5757.14032,5666.029888,5558.243584,5259.14032,5027.37904,5094.567808,5268.2663680000005,5593.450048,5757.447327999999,5818.753792,5867.263263999999,5815.282144,5788.008927999999,5746.685344,5734.323904,5695.8184,5625.719679999999,5587.359039999999,5507.814016,5422.694656,5267.845504,5143.872832,5041.171552,4901.229568000001,4727.77888,4502.923744,4288.772032,4116.192352,3928.626976
2009-01-09,3766.356256,3674.6608,3590.992672,3535.825696,3485.190592,3459.6088,3419.992384,3381.824896,3346.408,3334.419328,3310.42864,3277.5845440000003,3258.5216319999995,3236.864416,3227.205664,3208.005376,3192.20128,3184.262944,3169.536736,3165.70192,3156.113824,3160.410592,3168.087616,3188.41984,3192.806176,3245.384224,3271.47856,3306.433312,3404.56048,3548.091232,3798.532672,4125.793792,4722.102784000001,5259.395296,5512.41904,5606.532352,5674.594816,5722.742464,5751.411232,5795.842143999999,5826.566848,5849.905024,5884.947327999999,5888.286208,5881.845184,5893.128448,5746.00096,5467.72,4825.486528,4329.994336,4315.426528,4300.7443840000005,4380.933472,4543.822623999999,4968.774016,5437.450048,5509.366528,5642.7616,5655.481984,5669.14192,5683.983904,5724.371391999999,5746.532992,5761.805343999999,5792.595616,5818.636576,5793.29872,5749.988608,5597.466688,5554.130271999999,5249.605504,5017.625343999999,5050.022464,5247.273952,5537.1086080000005,5704.32112,5759.476575999999,5797.85968,5774.806528,5744.030752,5669.3608,5649.237376,5618.2816,5575.812832,5549.5740160000005,5484.657856,5398.636576,5304.0184,5223.263583999999,5047.308928,4914.434176,4725.609088,4402.914495999999,4327.33888,4140.044704,3940.79824
2009-01-10,3771.246208,3662.526688,3595.076128,3541.567456,3449.6136639999995,3433.773664,3391.757056,3364.603264,3315.173152,3293.913184,3175.73008,3159.294304,3135.656416,3115.272352,3183.361984,3160.075264,3146.995744,3149.85184,3129.328,3111.74176,3112.09984,3116.348608,3102.833824,3092.097568,3098.541472,3118.524064,3142.8592,3174.257056,3251.592352,3366.96112,3561.254464,3891.13984,4401.365344,4930.794975999999,5144.492031999999,5240.290432,5288.870271999999,5342.307328,5390.268448,5431.7227840000005,5457.807808,5498.530911999999,5524.591552,5533.111552,5550.502143999999,5545.682944,5439.5603200000005,5163.073792,4535.245504,4119.415456,4101.577216,4088.011552,4139.137215999999,4261.428448,4650.017535999999,4992.892192,5099.023264,5168.913471999999,5166.831712,5177.325664,5193.594016,5226.011872,5261.146528,5273.544544,5304.568768,5329.737376,5317.227328,5299.63888,5155.832992,5123.535136,4823.024704,4651.706368,4677.704224,4812.350272,5052.442144,5179.486528,5229.386368,5256.827008,5200.510047999999,5175.188128,5138.28112,5135.132032,5102.06176,5068.515136,5015.189728,4974.682624,4882.404544,4813.503904,4718.452192,4618.338016,4514.844064,4401.010431999999,4213.2310720000005,4036.847968,3873.77824,3711.362464
